cost,dim
0.9896967858238225,freq
0.5907554476256394,freq
0.6450590929937905,freq
1.0850743030811205,freq
3.8589795602114823,freq
0.5976589216354675,freq
0.6135407830551927,freq
0.795816088449617,freq
0.7686233967761421,freq
1.134227242184634,freq
0.5685305649667775,freq
1.0615687355300454,freq
1.0725554066861844,freq
0.5409938164075083,freq
0.529713033555882,freq
0.9990237569789534,freq
0.5017505592570185,freq
0.5070883369104259,freq
0.7815605360780062,freq
1.0533055334135455,freq
0.6055735206424012,freq
0.5494941587400615,freq
0.708093609289549,freq
0.919760612179357,freq
0.4956738838137129,freq
0.6879052004909899,freq
0.9978874448597296,freq
0.5987213219071388,freq
0.5488632880890104,freq
1.099985660718529,freq
0.5914143541360461,freq
0.6694434104633575,freq
0.747901899170348,freq
0.5950567720872711,freq
0.514490771326922,freq
0.5679284340792924,freq
0.6231892218837594,freq
0.8098441785708248,freq
1.4254171078996487,freq
0.7571409203675539,freq
0.5088018898376924,freq
0.5369830268829874,freq
0.6331927496043137,freq
0.5798155616549084,freq
0.49398362134274176,freq
0.6984900102874283,freq
0.5212358377385121,freq
0.7298730941034627,freq
0.5361386302168903,freq
0.6093083069511364,freq
1.2856099833866634,freq
0.5241913888106305,freq
0.6080342585772458,freq
0.7145201007229247,freq
1.3520998900022443,freq
0.9894148031652008,freq
0.5098287291506,freq
0.5651639795009521,freq
0.7412436229962819,freq
1.191650721191901,freq
0.5664367406583594,freq
1.205145792547327,freq
0.5058707953678312,freq
0.513348711332584,freq
0.5167794903071652,freq
0.6621063433988753,freq
0.7834639179411114,freq
0.5697628358756603,freq
0.5348787760161371,freq
0.7498082157615923,freq
0.6223106668976777,freq
0.6284806604558189,freq
0.5177541929183422,freq
0.6622510087425689,freq
0.6646859366722001,freq
0.4971339119241894,freq
0.8558257592620259,freq
0.8464147443886256,freq
0.7418578830215206,freq
0.5272214501983722,freq
0.5357012401152341,freq
0.5861893344786553,freq
0.6644517032294596,freq
0.6531299229435548,freq
0.7322988664758756,freq
0.8408923735030182,freq
0.5268849288627351,freq
0.912303529855629,freq
0.5186834404615243,freq
0.6654524379612085,freq
0.772197125947124,freq
0.5879120167492204,freq
0.8677293369664448,freq
1.0532918621255933,freq
0.5346599741962839,freq
0.5532350407959723,freq
0.9011566552584622,freq
0.7821307858499909,freq
0.5716589472259124,freq
0.605329625095594,freq
0.5817894812616388,freq
0.7439025756435075,freq
0.6608518332228107,freq
1.1757777262299867,freq
0.6449309251403063,freq
1.2554044822117183,freq
0.7909579073353535,freq
0.5724277361925535,freq
0.5240169628748235,freq
0.7224707712046037,freq
0.6648875453115447,freq
0.5426773220700015,freq
0.6884139580979903,freq
0.6018159576495227,freq
1.41226432134122,freq
1.1491068389260546,freq
0.7254583273541069,freq
0.9299581247748538,freq
0.5174402281134247,freq
0.5658944394723265,freq
0.5254434494627912,freq
0.7349648535165164,freq
0.49054131083651276,freq
0.5107004948589486,freq
0.9545622250761787,freq
0.8215530236747989,freq
0.5617634644422983,freq
0.5524266849927416,freq
0.5937854944279747,freq
0.642583734070692,freq
0.5414755975764057,freq
0.5142725748175209,freq
0.7468074043327233,freq
2.9465341931176185,freq
0.4961305227757627,freq
0.49829717368422866,freq
0.6101669225536296,freq
0.5246600434192739,freq
0.8124738836510538,freq
0.9542550517983618,freq
0.6266283602214593,freq
0.78945667508147,freq
0.5754306108592256,freq
0.8160234470468859,freq
0.4872016344280891,freq
0.6797220333033357,freq
0.5359177530426551,freq
0.6244767685200014,freq
0.5616645126592762,freq
0.4927209503635538,freq
0.975476665372716,freq
0.7822638649419202,freq
0.5777817674935777,freq
0.7663383770618809,freq
0.678545948301318,freq
0.9350461352071429,freq
1.3608653911616686,freq
1.3570187850170052,freq
0.5020195237517606,freq
0.5073264040620025,freq
0.7199744031211466,freq
0.7339296311534408,freq
0.516507061577394,freq
0.5924723711931739,freq
0.6936358895076127,freq
0.5837468761009412,freq
0.9176368104918298,freq
0.5066081515590641,freq
0.8378519092007507,freq
0.8495368507668839,freq
0.6260908248870244,freq
1.217038073804592,freq
0.5192266159203116,freq
0.8016439926513383,freq
0.693284551838067,freq
0.5216809988266086,freq
0.9949909175045942,freq
0.8528968409950044,freq
0.5279518261689687,freq
0.6230233282246739,freq
0.8430065374242768,freq
0.562301591623075,freq
1.9620294499081288,freq
0.6006682151880606,freq
0.812161789501199,freq
0.6220375691822815,freq
0.6051737714269085,freq
0.5882576781795031,freq
1.020474416755466,freq
0.6683951948966125,freq
0.6779233172423778,freq
0.5041419619967661,freq
0.5627531159189132,freq
0.7068746712540698,freq
1.0587639858619964,freq
1.0856142909729183,freq
1.1312594474876254,freq
0.5408484316474024,freq
0.6068299788533559,freq
0.8108175731728315,freq
0.6784517389686249,freq
0.8281308703741193,freq
0.6406740465363676,freq
0.5845089730007853,freq
0.9449245721041859,freq
0.5275424779317924,freq
0.5451886841660321,freq
0.6512919763710171,freq
0.5187972675466629,freq
0.5467092869009331,freq
0.5732495233939914,freq
0.512508237333393,freq
0.9962189260537295,freq
0.5841058750526744,freq
0.6088983534532284,freq
0.7289865969055835,freq
0.7097451902510834,freq
0.7021608362398454,freq
0.8428890605424828,freq
0.5750880734705265,freq
0.6658384681593451,freq
0.5288507568548385,freq
0.5768383954059596,freq
0.5400516956224276,freq
0.6499085243424522,freq
0.6081563173950529,freq
0.5313282475475795,freq
0.5448432680679983,freq
0.539744616242103,freq
0.551394438994958,freq
0.49628131887629984,freq
0.6651588747049887,freq
0.5527683316390705,freq
0.630498953978892,freq
0.5746319356607733,freq
0.5191009151249804,freq
1.6038288451577511,freq
0.9524206627741724,freq
0.8017334125040554,freq
0.5323467433532327,freq
0.5907253312627322,freq
1.226737550691626,freq
0.870238232405477,freq
0.5767957047447047,freq
0.5253651235533193,freq
0.5173508731245277,freq
0.956452137928788,freq
0.6050576308528008,freq
0.7740466160514476,freq
1.5694782544805734,freq
0.9289735537661374,freq
0.6911030528845991,freq
0.5647432777294299,freq
1.19338276867068,freq
1.0260716708639759,freq
0.5507110333471251,freq
0.5308640251733383,freq
0.5386534572965489,freq
0.9758145216467201,freq
0.9389244199890673,freq
0.808778004914485,freq
0.8847642380953399,freq
0.5094716038464487,freq
0.6880498590108276,freq
0.8309934884625126,freq
0.5795419341011259,freq
0.7507524563581465,freq
0.7806892025175528,freq
0.8767465751989981,freq
0.6986227775812189,freq
1.1724651029700572,freq
0.5190797500443346,freq
0.5291581778791995,freq
0.7045940258561105,freq
0.9433825400997082,freq
0.8309555788763363,freq
0.8673372968935634,freq
0.6585786225898406,freq
0.7275914717475743,freq
0.5263429797076375,freq
0.8189621005671484,freq
0.5061173740450365,freq
0.5145302781553863,freq
0.756741147851801,freq
0.6747648428560175,freq
0.6736021886830722,freq
1.225099903697878,freq
0.5681300467605913,freq
1.8448192467851925,freq
0.7190249901338167,freq
1.037284626247904,freq
1.799113534491652,freq
0.6453498318306998,freq
0.6542430894454881,freq
1.0053276060440666,freq
0.8205005585975169,freq
0.6617601321891803,freq
0.807377175823554,freq
0.5001628949575609,freq
0.6882515772268293,freq
0.6415784121014066,freq
0.5673603935778186,freq
0.7367044752490657,freq
0.551863535187788,freq
1.2225817539261377,freq
0.5923589024612095,freq
0.5386059363007009,freq
0.6711883085698493,freq
0.6488904377194918,freq
0.614020071253136,freq
0.5450464488469464,freq
0.8373534969287523,freq
1.0159812377515185,freq
0.5774478460659445,freq
0.5502365399201978,freq
0.5081911175159575,freq
0.6249181716320332,freq
0.5948986467186146,freq
0.5095690083133477,freq
0.6959065816986617,freq
0.6154688752780745,freq
0.7198604396122037,freq
0.7179517154491667,freq
0.7367034698419307,freq
0.6648824788037005,freq
0.6298356583225906,freq
0.5006053689178288,freq
0.6580393936744585,freq
0.8859822863484258,freq
0.49705309654407936,freq
0.5490407528083042,freq
0.6893283757837907,freq
0.5463314000189895,freq
0.5731032993327154,freq
0.6558241960706459,freq
0.6576581172960191,freq
0.5191996415034779,freq
0.5611854604472944,freq
0.6112931218556982,freq
0.9028245524197838,freq
0.5533786950868197,freq
1.6916380982528603,freq
1.0438783868967159,freq
1.0738703574803978,freq
0.8542353124514214,freq
0.4947962519467025,freq
1.5665869127786611,freq
0.7797102955317743,freq
0.6229986925780003,freq
0.8796779835711298,freq
0.7724918715559355,freq
1.179001049542412,freq
0.6926511163363247,freq
0.5052249103942876,freq
0.5576179595870099,freq
0.5220378589772967,freq
0.7886397436283437,freq
1.0626077045048046,freq
0.7103616352738518,freq
1.7379594147917634,freq
0.5215217807007813,freq
0.9882998440329336,freq
1.0510556486766942,freq
0.6095652483406158,freq
0.4839424948521885,freq
0.4954582586884885,freq
0.9536838992716162,freq
0.5898876929671888,freq
0.6614232704512344,freq
0.5714836223486166,freq
0.6451444414711336,freq
0.605087051788934,freq
0.6731496201923978,freq
0.8787286886854847,freq
0.7114050749101118,freq
0.6348973874803547,freq
0.5650079917758669,freq
0.566966961804149,freq
0.6219645717274569,freq
0.6877501190941342,freq
0.5101619877947025,freq
1.1577136641386545,freq
0.6086363414103272,freq
0.49440353028282574,freq
1.1652640359772484,freq
0.6485346252182906,freq
0.5907530364813254,freq
0.5098198843262655,freq
0.6193626888145781,freq
0.7564491906777879,freq
0.5028240920465297,freq
0.5577982847982995,freq
0.6276683226020451,freq
0.6051139536520187,freq
0.6608860308023401,freq
0.8358280054380746,freq
1.2925289135284828,freq
0.5960909992304393,freq
1.2501295398269943,freq
0.5753215210421184,freq
1.1714837528963296,freq
1.0577955606082263,freq
0.4979047168107458,freq
0.6753038796086993,freq
0.7132786150065852,freq
0.5854497885946899,freq
0.8196606750027947,freq
0.5233962492495594,freq
0.5223272150538709,freq
0.739733361557155,freq
0.7626114511250791,freq
0.5825511234751266,freq
0.5234397074671334,freq
0.5203593761899309,freq
0.795762910615647,freq
0.7160919282827424,freq
0.5240242524025326,freq
0.5883988732743277,freq
1.2755861341644195,freq
0.8421352491130815,freq
0.7457497870101004,freq
1.0065443859762377,freq
0.7602469266562065,freq
0.6258476801538054,freq
0.5428758533047409,freq
0.5440908626778947,freq
0.5899745794975848,freq
0.9753514516955506,freq
0.6420023308944874,freq
0.6205666941217122,freq
0.4952703406222318,freq
0.6579768641837078,freq
0.5870458288663578,freq
0.6026725027786357,freq
0.6037264362171814,freq
0.5222589940992064,freq
