wminus,pair,score,length,norm_score
3,Pink_vs_Dark Pink,2870.5904849444833,111,25.86117554004039
4,Pink_vs_Dark Pink,3122.521256191567,117,26.688215864885187
5,Pink_vs_Dark Pink,3140.8912360378913,123,25.535701105999117
0,Pink_vs_Orange,13691.531894675165,114,120.10115697083478
1,Pink_vs_Orange,13536.690253152068,116,116.69560563062127
2,Pink_vs_Orange,13781.244488334769,107,128.79667746107262
3,Pink_vs_Orange,14178.293166680265,101,140.37914026416104
4,Pink_vs_Orange,14412.801678387797,99,145.58385533725047
5,Pink_vs_Orange,14845.168847989136,115,129.08842476512294
0,Pink_vs_Pale Green,4657.535964085814,110,42.341236037143766
1,Pink_vs_Pale Green,4618.280678094363,101,45.72555126826102
2,Pink_vs_Pale Green,4737.431721379845,100,47.37431721379845
3,Pink_vs_Pale Green,4582.242238282189,89,51.48586784586729
4,Pink_vs_Pale Green,4915.374378261614,113,43.498888303200125
5,Pink_vs_Pale Green,4854.163041957295,114,42.580377561028904
0,Turquoise_vs_White,4168.038002057061,71,58.70476059235297
1,Turquoise_vs_White,4243.900450364923,73,58.13562260773867
2,Turquoise_vs_White,4158.45597291642,65,63.976245737175695
3,Turquoise_vs_White,4292.719337152402,77,55.74960178120002
4,Turquoise_vs_White,4348.144211041359,77,56.46940533819947
5,Turquoise_vs_White,4233.695939134015,74,57.2121072855948
0,Turquoise_vs_Yellow,5511.039397034052,113,48.77026015074382
1,Turquoise_vs_Yellow,5326.063514034503,102,52.21630896112258
2,Turquoise_vs_Yellow,5805.5582687789165,103,56.36464338620307
3,Turquoise_vs_Yellow,5602.008146787115,102,54.92164849791289
4,Turquoise_vs_Yellow,5267.942301281533,102,51.64649314981895
5,Turquoise_vs_Yellow,5523.546728204498,103,53.626667264121345
0,Turquoise_vs_Pale Blue,3313.7939297240587,63,52.59990364641363
1,Turquoise_vs_Pale Blue,3386.3187648770477,71,47.69463049122602
2,Turquoise_vs_Pale Blue,3882.6763280295754,69,56.270671420718486
3,Turquoise_vs_Pale Blue,3897.2717203956086,76,51.279891057836956
4,Turquoise_vs_Pale Blue,3937.5256076710107,80,49.21907009588763
5,Turquoise_vs_Pale Blue,3846.909017078137,64,60.10795339184589
0,Turquoise_vs_Green,3401.213213155492,72,47.23907240493739
1,Turquoise_vs_Green,3527.915336816331,72,48.998824122449044
2,Turquoise_vs_Green,3811.9541364385123,80,47.6494267054814
3,Turquoise_vs_Green,3456.6055953629248,76,45.4816525705648
4,Turquoise_vs_Green,3699.874028764588,78,47.43428242005882
5,Turquoise_vs_Green,3922.826317016624,80,49.0353289627078
0,Turquoise_vs_Dark Pink,2632.3201365754912,101,26.062575609658328
1,Turquoise_vs_Dark Pink,2699.4175425644453,101,26.72690636202421
2,Turquoise_vs_Dark Pink,2666.8775599500686,101,26.404728316337312
3,Turquoise_vs_Dark Pink,2697.1779341751735,101,26.704732021536373
4,Turquoise_vs_Dark Pink,2879.847814567918,110,26.18043467789016
5,Turquoise_vs_Dark Pink,2697.676287710485,101,26.7096662149553
0,Turquoise_vs_Orange,3917.2946966424397,68,57.60727495062412
1,Turquoise_vs_Orange,4113.207952079318,65,63.28012233968181
2,Turquoise_vs_Orange,4143.722769627438,72,57.551705133714414
3,Turquoise_vs_Orange,4129.191269264992,71,58.157623510774535
4,Turquoise_vs_Orange,4129.529825827047,64,64.5239035285476
5,Turquoise_vs_Orange,4052.7689435640127,63,64.32966577085735
0,Turquoise_vs_Pale Green,2681.6757218499206,51,52.58187689901805
1,Turquoise_vs_Pale Green,2679.3274303743447,51,52.535831968124405
2,Turquoise_vs_Pale Green,2638.340541965741,50,52.76681083931482
3,Turquoise_vs_Pale Green,2597.257832968393,47,55.260804956774315
4,Turquoise_vs_Pale Green,2835.1037052653087,54,52.50192046787609
5,Turquoise_vs_Pale Green,3114.889009293312,57,54.64717560163705
0,White_vs_Yellow,10936.77459657396,117,93.47670595362358
1,White_vs_Yellow,10997.342300992357,120,91.6445191749363
2,White_vs_Yellow,11165.755888029722,119,93.82988141201447
3,White_vs_Yellow,10998.129665488506,119,92.42125769318072
4,White_vs_Yellow,11050.253794534918,120,92.08544828779098
5,White_vs_Yellow,11101.816849076577,121,91.75055247170724
0,White_vs_Pale Blue,7739.177703851653,117,66.14681798163807
1,White_vs_Pale Blue,7961.131033531634,111,71.7219012029877
2,White_vs_Pale Blue,7931.694091582284,120,66.0974507631857
3,White_vs_Pale Blue,7810.146761705756,116,67.32885139401513
4,White_vs_Pale Blue,8042.770380365944,110,73.11609436696313
5,White_vs_Pale Blue,8133.848898917851,111,73.27791800826893
0,White_vs_Green,6801.890459463302,111,61.278292427597314
1,White_vs_Green,6847.708872754123,110,62.2518988432193
2,White_vs_Green,7129.689485487736,112,63.657941834711934
3,White_vs_Green,7286.404707069911,123,59.23906265910497
4,White_vs_Green,6972.920085826496,108,64.56407486876385
5,White_vs_Green,7402.008411184882,109,67.90833404756772
0,White_vs_Dark Pink,2737.299315594075,102,26.83626779994191
1,White_vs_Dark Pink,2883.7539522028464,97,29.729422187658212
2,White_vs_Dark Pink,3076.41023572237,109,28.223947116718993
3,White_vs_Dark Pink,3052.0440843243637,111,27.495892651570845
4,White_vs_Dark Pink,3319.475035718029,126,26.345039966016106
5,White_vs_Dark Pink,3017.819200283823,99,30.483022225089123
0,White_vs_Orange,8950.734485379759,107,83.65172416242766
1,White_vs_Orange,8854.31214362819,98,90.35012391457337
2,White_vs_Orange,9143.828791411426,111,82.3768359586615
3,White_vs_Orange,8972.513182379347,100,89.72513182379348
4,White_vs_Orange,9096.914593005871,117,77.75140677782795
5,White_vs_Orange,9627.582215510305,134,71.8476284739575
0,White_vs_Pale Green,4820.882793918173,95,50.74613467282287
1,White_vs_Pale Green,4607.121016916486,91,50.62770348259875
2,White_vs_Pale Green,4523.82658281813,83,54.503934732748554
3,White_vs_Pale Green,4714.311933554447,105,44.89820889099473
4,White_vs_Pale Green,4817.077281218661,107,45.019413843165054
5,White_vs_Pale Green,4723.341504996732,86,54.92257563949688
0,Yellow_vs_Pale Blue,10677.926455138791,123,86.81241020438041
1,Yellow_vs_Pale Blue,10639.311837325926,123,86.498470222162
2,Yellow_vs_Pale Blue,10793.968242833007,123,87.75583937262607
3,Yellow_vs_Pale Blue,11201.757897573838,144,77.78998539981832
4,Yellow_vs_Pale Blue,11183.302590468504,122,91.66641467597134
5,Yellow_vs_Pale Blue,11713.14196461106,133,88.06873657602301
0,Yellow_vs_Green,13061.533408523052,125,104.4922672681844
1,Yellow_vs_Green,13210.249238690007,125,105.68199390952006
2,Yellow_vs_Green,12897.592133840742,137,94.1430082762098
3,Yellow_vs_Green,12238.704592654032,114,107.35705783029853
4,Yellow_vs_Green,12000.674133942623,114,105.26907135037388
5,Yellow_vs_Green,12109.465515275333,107,113.17257490911526
0,Yellow_vs_Dark Pink,3588.966086695522,114,31.482158655223877
1,Yellow_vs_Dark Pink,3499.240854483763,113,30.966733225520027
2,Yellow_vs_Dark Pink,3561.033873486016,112,31.794945298982288
3,Yellow_vs_Dark Pink,3447.621683537786,112,30.782336460158803
4,Yellow_vs_Dark Pink,3414.436859927393,113,30.21625539758755
5,Yellow_vs_Dark Pink,3673.8578949443113,117,31.400494828583856
0,Yellow_vs_Orange,17396.158036604687,130,133.81660028157452
1,Yellow_vs_Orange,17511.987006302712,122,143.5408771008419
2,Yellow_vs_Orange,17843.42865815183,136,131.20168130993994
3,Yellow_vs_Orange,18058.544760470715,136,132.7834173564023
4,Yellow_vs_Orange,18166.56640077374,134,135.5713910505503
5,Yellow_vs_Orange,18479.760107428538,136,135.88058902520984
0,Yellow_vs_Pale Green,5692.308074156942,109,52.22300985465085
1,Yellow_vs_Pale Green,5585.128263825854,111,50.31647084527797
2,Yellow_vs_Pale Green,5905.319576510229,127,46.49857934260023
3,Yellow_vs_Pale Green,6217.798851031922,133,46.7503673009919
4,Yellow_vs_Pale Green,6047.970013604047,115,52.591043596556936
5,Yellow_vs_Pale Green,5999.6694652383385,116,51.72128849343395
0,Pale Blue_vs_Green,5507.010503025649,81,67.98778398797097
1,Pale Blue_vs_Green,5663.956133836822,88,64.36313788450934
2,Pale Blue_vs_Green,5848.918198771466,85,68.81080233848785
3,Pale Blue_vs_Green,5858.722641576614,82,71.44783709239772
4,Pale Blue_vs_Green,6100.670948049905,95,64.2175889268411
5,Pale Blue_vs_Green,6141.061330006241,89,69.00068910119373
0,Pale Blue_vs_Dark Pink,2370.1957811685825,108,21.94625723304243
1,Pale Blue_vs_Dark Pink,2425.1341797630207,110,22.046674361482008
2,Pale Blue_vs_Dark Pink,2511.587790432963,118,21.284642291804772
3,Pale Blue_vs_Dark Pink,2537.4095033684753,126,20.138170661654566
4,Pale Blue_vs_Dark Pink,2631.3374775982543,120,21.927812313318785
5,Pale Blue_vs_Dark Pink,2468.5983804626326,120,20.571653170521937
0,Pale Blue_vs_Orange,7860.350126518047,91,86.37747391778073
1,Pale Blue_vs_Orange,8073.80596275322,109,74.07161433718551
2,Pale Blue_vs_Orange,7870.202232799885,88,89.43411628181687
3,Pale Blue_vs_Orange,8330.531821078876,90,92.56146467865418
4,Pale Blue_vs_Orange,8686.000326528218,106,81.94339930686998
5,Pale Blue_vs_Orange,8214.639640719273,88,93.34817773544628
0,Pale Blue_vs_Pale Green,2555.4674448504447,70,36.50667778357778
1,Pale Blue_vs_Pale Green,2683.2922593691364,66,40.65594332377479
2,Pale Blue_vs_Pale Green,2781.2685388401815,71,39.172796321692694
3,Pale Blue_vs_Pale Green,2843.129960372675,75,37.90839947163567
4,Pale Blue_vs_Pale Green,2717.7174282455326,72,37.74607539229906
5,Pale Blue_vs_Pale Green,2853.0639484190497,69,41.348752875638404
0,Green_vs_Dark Pink,1959.8544816529259,83,23.61270459822802
1,Green_vs_Dark Pink,2051.3473013413254,95,21.593129487803427
2,Green_vs_Dark Pink,2170.7094879324,98,22.150096815636733
3,Green_vs_Dark Pink,2105.2500423044917,93,22.637097229080556
4,Green_vs_Dark Pink,2062.3021972220126,92,22.41632823067405
5,Green_vs_Dark Pink,2178.1635778888535,93,23.42111374074036
0,Green_vs_Orange,8841.914337370868,106,83.41428620161197
1,Green_vs_Orange,8713.87028416368,88,99.02125322913274
2,Green_vs_Orange,8945.810357257158,87,102.8254064052547
3,Green_vs_Orange,8933.349499664584,88,101.51533522346118
4,Green_vs_Orange,9107.051480887352,98,92.92909674374849
5,Green_vs_Orange,9281.424013947406,92,100.8850436298631
0,Green_vs_Pale Green,2623.82156010389,74,35.45704810951203
1,Green_vs_Pale Green,2645.62848117556,70,37.79469258822228
2,Green_vs_Pale Green,2569.8566002847606,72,35.69245278173278
3,Green_vs_Pale Green,2519.063259254401,62,40.63005256861938
4,Green_vs_Pale Green,2715.776533043206,76,35.7339017505685
5,Green_vs_Pale Green,2773.4240148588005,72,38.51977798415001
0,Dark Pink_vs_Orange,2858.2322193996815,98,29.165634891833484
1,Dark Pink_vs_Orange,2794.149671670651,101,27.664848234362882
2,Dark Pink_vs_Orange,2876.5954182303026,98,29.353014471737783
3,Dark Pink_vs_Orange,2786.4476238343223,94,29.643059828024704
4,Dark Pink_vs_Orange,2729.46602492401,92,29.668108966565327
5,Dark Pink_vs_Orange,2814.4524316336324,96,29.317212829517004
0,Dark Pink_vs_Pale Green,1887.7466848887339,86,21.950542847543417
1,Dark Pink_vs_Pale Green,1947.2421859380668,91,21.398265779539194
2,Dark Pink_vs_Pale Green,1934.5260646770166,96,20.151313173718922
3,Dark Pink_vs_Pale Green,1880.551741369762,89,21.129794846851258
4,Dark Pink_vs_Pale Green,1958.4164750979237,95,20.61491026418867
5,Dark Pink_vs_Pale Green,1885.5984575422779,86,21.925563459793928
0,Orange_vs_Pale Green,4053.9555022107675,90,45.04395002456408
1,Orange_vs_Pale Green,4156.005109173258,89,46.69668661992424
2,Orange_vs_Pale Green,4122.218323054678,77,53.535302896814
3,Orange_vs_Pale Green,4298.697541571767,78,55.11150694322778
4,Orange_vs_Pale Green,4404.259967211178,82,53.71048740501437
5,Orange_vs_Pale Green,4345.880330717149,80,54.32350413396436
