match,mismatch,gap,pair,score,length,norm_score
1,-1,-2,Blue_vs_Green,5043.43740799138,67,75.2751851939012
2,-1,-2,Blue_vs_Green,5010.229168895197,70,71.57470241278854
1,-2,-2,Blue_vs_Green,4952.673412742481,75,66.03564550323307
2,-2,-2,Blue_vs_Green,5147.432857211262,77,66.84977736638002
1,-1,-1,Blue_vs_Dark Pink,1729.351705713338,77,22.459113061212182
2,-1,-1,Blue_vs_Dark Pink,1778.0403501672922,79,22.506839875535345
1,-2,-1,Blue_vs_Dark Pink,1796.652077122552,79,22.742431355981672
2,-2,-1,Blue_vs_Dark Pink,1826.5171589588535,81,22.549594555047573
1,-1,-2,Blue_vs_Dark Pink,1806.8640105893526,76,23.77452645512306
2,-1,-2,Blue_vs_Dark Pink,1734.3003236549519,76,22.81974110072305
1,-2,-2,Blue_vs_Dark Pink,1767.9998901647773,79,22.379745445123763
2,-2,-2,Blue_vs_Dark Pink,1758.603771949817,78,22.546202204484832
1,-1,-1,Blue_vs_Orange,9290.25498030217,91,102.09071406925462
2,-1,-1,Blue_vs_Orange,9193.972235192798,90,102.15524705769775
1,-2,-1,Blue_vs_Orange,9774.706670713269,112,87.27416670279705
2,-2,-1,Blue_vs_Orange,9579.298508778149,99,96.76059099775908
1,-1,-2,Blue_vs_Orange,8931.57527798506,71,125.79683490119804
2,-1,-2,Blue_vs_Orange,8623.20796044411,72,119.76677722839041
1,-2,-2,Blue_vs_Orange,9181.27862852273,89,103.16043402834528
2,-2,-2,Blue_vs_Orange,8974.259152757968,89,100.83437250289852
1,-1,-1,Blue_vs_Pale Green,2226.6744230080285,52,42.820661980923624
2,-1,-1,Blue_vs_Pale Green,2147.361183555695,52,41.295407376071054
1,-2,-1,Blue_vs_Pale Green,2216.178195952775,54,41.040336962088425
2,-2,-1,Blue_vs_Pale Green,2202.4927197698917,54,40.78690221796096
1,-1,-2,Blue_vs_Pale Green,2154.145887552564,47,45.83289122452264
