"","1","2","3","4","5","6","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","7","I","8","12","13","14","15","16","17","I","I","I","I","I","I","I","18","23","I","24","I","I","I","25","26","27","28","29","30","31","32","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","33","I","I","I","I","I","I","I","34","35","36","I","I","I","I","I","I","I","I","I","I","I","I","I","I","37","38","39","40","46","I","47","48","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","49","50","51","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","52","I","I"
"S1","A","A","-","-","-","A","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","-","-","-","-","-","-","-","-","C","C","C","C","C","-","E","-","-","B","H","A","B","A","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S2","A","A","-","-","-","A","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","C","C","C","E","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","-","E","-","-","B","H","A","B","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","A","A","-","-","-","A","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","-","-","-","-","-","-","-","-","C","C","C","C","C","C","E","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S4","A","A","-","-","-","A","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","C","C","C","C","C","C","C","E","C","C","C","C","C","-","E","-","-","B","H","-","B","A","C","C","C","C","C","C","C","E","C","C","C","C","C","C","C","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S5","A","A","-","-","-","A","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","C","C","C","C","C","C","-","E","C","C","C","C","C","-","E","-","-","B","H","A","A","A","C","C","C","C","C","C","C","C","E","C","C","C","C","C","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S3","A","A","-","-","-","A","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","-","-","-","-","-","-","-","-","C","C","C","C","C","C","E","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","C","C","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S7","A","A","-","-","-","A","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","C","C","C","C","C","C","-","E","C","C","C","C","C","C","E","-","-","B","H","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","C","C","C","C","C","C","C","C","-","-","-","-","-","-","E","B","H","A","-","-","B","A","C","C","C","C","C","C","C","C","E","C","C","C","C","C","C","E","B","B","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","C","C"
"S8","A","A","-","-","-","A","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","-","-","-","-","-","-","-","-","C","C","C","C","C","-","E","-","-","B","H","A","B","A","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","A","A","C","C","C","C","C","C","C","E","C","C","C","C","C","C","E","-","-","-","-","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","E","-","-"
"S9","A","A","-","-","-","A","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","C","C","C","E","B","H","A","B","A","C","C","C","C","C","C","C","E","C","C","C","C","C","C","E","-","-","B","H","A","A","A","C","C","C","C","C","C","E","C","C","C","C","C","-","-","-","-","-","-","-","-","E","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","E","-","-"
"S10","A","A","-","-","-","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","C","C","C","E","-","-","-","-","-","-","-","-","-","-","-","-","-","C","C","C","C","C","-","E","-","-","B","H","A","B","A","C","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","-","-","-","E","C","C","C","C","C","C","C","A","A","A","C","C","C","C","C","C","C","C","C","-","-","-","-","-","E","-","-","-","-","-","B","H","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","A","B","A","C","C","C","C","C","C","C","-","-","-","-","-","-","-","-","-","E","-","-"
